status,method,next_path,openapi_path,file
present,GET,/api/admin/vehicles/[id]/history,/api/admin/vehicles/{id}/history,D:\voltium\web\src\app\api\admin\vehicles\[id]\history\route.ts
present,GET,/api/admin/workflow-coverage,/api/admin/workflow-coverage,D:\voltium\web\src\app\api\admin\workflow-coverage\route.ts
present,POST,/api/auth/logout,/api/auth/logout,D:\voltium\web\src\app\api\auth\logout\route.ts
present,POST,/api/auth/refresh,/api/auth/refresh,D:\voltium\web\src\app\api\auth\refresh\route.ts
present,POST,/api/auth/send-otp,/api/auth/send-otp,D:\voltium\web\src\app\api\auth\send-otp\route.ts
present,POST,/api/auth/verify-otp,/api/auth/verify-otp,D:\voltium\web\src\app\api\auth\verify-otp\route.ts
present,POST,/api/auth/verify-phone,/api/auth/verify-phone,D:\voltium\web\src\app\api\auth\verify-phone\route.ts
present,GET,/api/cron/announcements,/api/cron/announcements,D:\voltium\web\src\app\api\cron\announcements\route.ts
present,GET,/api/cron/cleanup-telemetry,/api/cron/cleanup-telemetry,D:\voltium\web\src\app\api\cron\cleanup-telemetry\route.ts
present,GET,/api/cron/notifications,/api/cron/notifications,D:\voltium\web\src\app\api\cron\notifications\route.ts
present,GET,/api/cron/reconciliation,/api/cron/reconciliation,D:\voltium\web\src\app\api\cron\reconciliation\route.ts
present,POST,/api/device/data,/api/device/data,D:\voltium\web\src\app\api\device\data\route.ts
present,POST,/api/device/permissions,/api/device/permissions,D:\voltium\web\src\app\api\device\permissions\route.ts
present,POST,/api/emergency/sos,/api/emergency/sos,D:\voltium\web\src\app\api\emergency\sos\route.ts
present,POST,/api/files/confirm-upload,/api/files/confirm-upload,D:\voltium\web\src\app\api\files\confirm-upload\route.ts
present,PUT,/api/files/direct-upload,/api/files/direct-upload,D:\voltium\web\src\app\api\files\direct-upload\route.ts
present,GET,/api/files/local-upload/[fileRecordId],/api/files/local-upload/{fileRecordId},D:\voltium\web\src\app\api\files\local-upload\[fileRecordId]\route.ts
present,PUT,/api/files/local-upload/[fileRecordId],/api/files/local-upload/{fileRecordId},D:\voltium\web\src\app\api\files\local-upload\[fileRecordId]\route.ts
present,POST,/api/files/request-read,/api/files/request-read,D:\voltium\web\src\app\api\files\request-read\route.ts
present,POST,/api/files/request-upload,/api/files/request-upload,D:\voltium\web\src\app\api\files\request-upload\route.ts
present,GET,/api/files/[...path],/api/files/{path},D:\voltium\web\src\app\api\files\[...path]\route.ts
present,PUT,/api/files/[...path],/api/files/{path},D:\voltium\web\src\app\api\files\[...path]\route.ts
present,GET,/api/health/caddy,/api/health/caddy,D:\voltium\web\src\app\api\health\caddy\route.ts
present,GET,/api/health/db,/api/health/db,D:\voltium\web\src\app\api\health\db\route.ts
present,GET,/api/health,/api/health,D:\voltium\web\src\app\api\health\route.ts
present,GET,/api/health/storage,/api/health/storage,D:\voltium\web\src\app\api\health\storage\route.ts
present,GET,/api/health/worker,/api/health/worker,D:\voltium\web\src\app\api\health\worker\route.ts
present,GET,/api/internal/debug,/api/internal/debug,D:\voltium\web\src\app\api\internal\debug\route.ts
present,POST,/api/internal/worker,/api/internal/worker,D:\voltium\web\src\app\api\internal\worker\route.ts
present,GET,/api/metrics,/api/metrics,D:\voltium\web\src\app\api\metrics\route.ts
present,GET,/api/monitoring/metrics,/api/monitoring/metrics,D:\voltium\web\src\app\api\monitoring\metrics\route.ts
present,GET,/api/notification/list,/api/notification/list,D:\voltium\web\src\app\api\notification\list\route.ts
present,PUT,/api/notification/list,/api/notification/list,D:\voltium\web\src\app\api\notification\list\route.ts
present,GET,/api/pricing,/api/pricing,D:\voltium\web\src\app\api\pricing\route.ts
present,GET,/api/ready,/api/ready,D:\voltium\web\src\app\api\ready\route.ts
present,POST,/api/rental/book,/api/rental/book,D:\voltium\web\src\app\api\rental\book\route.ts
present,POST,/api/rider/account/delete-request,/api/rider/account/delete-request,D:\voltium\web\src\app\api\rider\account\delete-request\route.ts
present,GET,/api/rider/config/skip-deposit,/api/rider/config/skip-deposit,D:\voltium\web\src\app\api\rider\config\skip-deposit\route.ts
present,GET,/api/rider/consent,/api/rider/consent,D:\voltium\web\src\app\api\rider\consent\route.ts
present,POST,/api/rider/consent,/api/rider/consent,D:\voltium\web\src\app\api\rider\consent\route.ts
present,GET,/api/rider/dashboard,/api/rider/dashboard,D:\voltium\web\src\app\api\rider\dashboard\route.ts
present,POST,/api/rider/device/permissions,/api/rider/device/permissions,D:\voltium\web\src\app\api\rider\device\permissions\route.ts
present,GET,/api/rider/device,/api/rider/device,D:\voltium\web\src\app\api\rider\device\route.ts
present,POST,/api/rider/device,/api/rider/device,D:\voltium\web\src\app\api\rider\device\route.ts
present,POST,/api/rider/device/set-lock,/api/rider/device/set-lock,D:\voltium\web\src\app\api\rider\device\set-lock\route.ts
present,POST,/api/rider/device/verify-lock,/api/rider/device/verify-lock,D:\voltium\web\src\app\api\rider\device\verify-lock\route.ts
present,GET,/api/rider/earnings,/api/rider/earnings,D:\voltium\web\src\app\api\rider\earnings\route.ts
present,POST,/api/rider/earnings,/api/rider/earnings,D:\voltium\web\src\app\api\rider\earnings\route.ts
present,GET,/api/rider/guarantor,/api/rider/guarantor,D:\voltium\web\src\app\api\rider\guarantor\route.ts
present,POST,/api/rider/guarantor/skip,/api/rider/guarantor/skip,D:\voltium\web\src\app\api\rider\guarantor\skip\route.ts
present,GET,/api/rider/hubs,/api/rider/hubs,D:\voltium\web\src\app\api\rider\hubs\route.ts
present,GET,/api/rider/kyc,/api/rider/kyc,D:\voltium\web\src\app\api\rider\kyc\route.ts
present,GET,/api/rider/legal,/api/rider/legal,D:\voltium\web\src\app\api\rider\legal\route.ts
present,GET,/api/rider/maintenance-status,/api/rider/maintenance-status,D:\voltium\web\src\app\api\rider\maintenance-status\route.ts
present,GET,/api/rider/notifications,/api/rider/notifications,D:\voltium\web\src\app\api\rider\notifications\route.ts
present,PUT,/api/rider/notifications,/api/rider/notifications,D:\voltium\web\src\app\api\rider\notifications\route.ts
present,DELETE,/api/rider/notifications,/api/rider/notifications,D:\voltium\web\src\app\api\rider\notifications\route.ts
present,GET,/api/rider/payment-gateways/active,/api/rider/payment-gateways/active,D:\voltium\web\src\app\api\rider\payment-gateways\active\route.ts
present,GET,/api/rider/plans,/api/rider/plans,D:\voltium\web\src\app\api\rider\plans\route.ts
present,POST,/api/rider/plans,/api/rider/plans,D:\voltium\web\src\app\api\rider\plans\route.ts
present,GET,/api/rider/pricing,/api/rider/pricing,D:\voltium\web\src\app\api\rider\pricing\route.ts
present,GET,/api/rider/profile,/api/rider/profile,D:\voltium\web\src\app\api\rider\profile\route.ts
present,PUT,/api/rider/profile,/api/rider/profile,D:\voltium\web\src\app\api\rider\profile\route.ts
present,GET,/api/rider/referral,/api/rider/referral,D:\voltium\web\src\app\api\rider\referral\route.ts
present,GET,/api/rider/referrals,/api/rider/referrals,D:\voltium\web\src\app\api\rider\referrals\route.ts
present,POST,/api/rider/register-token,/api/rider/register-token,D:\voltium\web\src\app\api\rider\register-token\route.ts
present,POST,/api/rider/rental/return,/api/rider/rental/return,D:\voltium\web\src\app\api\rider\rental\return\route.ts
present,GET,/api/rider/rewards,/api/rider/rewards,D:\voltium\web\src\app\api\rider\rewards\route.ts
present,POST,/api/rider/rewards/[id]/redeem,/api/rider/rewards/{id}/redeem,D:\voltium\web\src\app\api\rider\rewards\[id]\redeem\route.ts
present,GET,/api/rider/search,/api/rider/search,D:\voltium\web\src\app\api\rider\search\route.ts
present,GET,/api/rider/settings,/api/rider/settings,D:\voltium\web\src\app\api\rider\settings\route.ts
present,POST,/api/rider/sync/device-data,/api/rider/sync/device-data,D:\voltium\web\src\app\api\rider\sync\device-data\route.ts
present,POST,/api/rider/sync/pickup,/api/rider/sync/pickup,D:\voltium\web\src\app\api\rider\sync\pickup\route.ts
present,GET,/api/rider/sync/pickup/vehicle,/api/rider/sync/pickup/vehicle,D:\voltium\web\src\app\api\rider\sync\pickup\vehicle\route.ts
present,GET,/api/rider/team-leaders,/api/rider/team-leaders,D:\voltium\web\src\app\api\rider\team-leaders\route.ts
present,POST,/api/rider/verify-lock-password,/api/rider/verify-lock-password,D:\voltium\web\src\app\api\rider\verify-lock-password\route.ts
present,GET,/api/search,/api/search,D:\voltium\web\src\app\api\search\route.ts
present,GET,/api/shifts,/api/shifts,D:\voltium\web\src\app\api\shifts\route.ts
present,GET,/api/support/chat/suggest,/api/support/chat/suggest,D:\voltium\web\src\app\api\support\chat\suggest\route.ts
present,GET,/api/support/faqs,/api/support/faqs,D:\voltium\web\src\app\api\support\faqs\route.ts
present,POST,/api/support/feedback,/api/support/feedback,D:\voltium\web\src\app\api\support\feedback\route.ts
present,GET,/api/support/tickets,/api/support/tickets,D:\voltium\web\src\app\api\support\tickets\route.ts
present,POST,/api/support/tickets,/api/support/tickets,D:\voltium\web\src\app\api\support\tickets\route.ts
present,GET,/api/sync/queue,/api/sync/queue,D:\voltium\web\src\app\api\sync\queue\route.ts
present,POST,/api/sync/queue,/api/sync/queue,D:\voltium\web\src\app\api\sync\queue\route.ts
present,GET,/api/transaction/history,/api/transaction/history,D:\voltium\web\src\app\api\transaction\history\route.ts
present,DELETE,/api/transaction/history,/api/transaction/history,D:\voltium\web\src\app\api\transaction\history\route.ts
present,GET,/api/transaction/request,/api/transaction/request,D:\voltium\web\src\app\api\transaction\request\route.ts
present,POST,/api/transaction/request,/api/transaction/request,D:\voltium\web\src\app\api\transaction\request\route.ts
present,POST,/api/transaction/topup,/api/transaction/topup,D:\voltium\web\src\app\api\transaction\topup\route.ts
present,GET,/api/vehicles,/api/vehicles,D:\voltium\web\src\app\api\vehicles\route.ts
